hyperedge_id,type,size,normal_count,abnormal_count,normal_ratio,abnormal_ratio,majority_label,majority_count,purity,entropy,is_bridge,vertices
HE_000335,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no188.jpg|no723.jpg|no779.jpg|y1271.jpg|y17.jpg|y218.jpg|y3.jpg|y38.jpg|y380.jpg|y426.jpg|y607.jpg
HE_000336,knn,11,0,11,0.000000,1.000000,1,11,1.000000,0.000000,False,y16.jpg|y187.jpg|y218.jpg|y250.jpg|y340.jpg|y346.jpg|y538.jpg|y539.jpg|y607.jpg|y612.jpg|y630.jpg
HE_000337,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no675.jpg|no925.jpg|y188.jpg|y252.jpg|y283.jpg|y302.jpg|y374.jpg|y428.jpg|y431.jpg|y452.jpg|y490.jpg
HE_000338,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no265.jpg|no637.jpg|y1150.jpg|y189.jpg|y332.jpg|y460.jpg|y471.jpg|y535.jpg|y545.jpg|y564.jpg|y662.jpg
HE_000339,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no1435.jpg|no595.jpg|y1104.jpg|y1274.jpg|y195.jpg|y261.jpg|y353.jpg|y4.jpg|y534.jpg|y568.jpg|y949.jpg
HE_000340,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no417.jpg|no720.jpg|y1257.jpg|y1309.jpg|y1430.jpg|y1431.jpg|y159.jpg|y201.jpg|y363.jpg|y476.jpg|y557.jpg
HE_000341,knn,11,0,11,0.000000,1.000000,1,11,1.000000,0.000000,False,y1081.jpg|y1176.jpg|y1222.jpg|y126.jpg|y1352.jpg|y210.jpg|y309.jpg|y64.jpg|y678.jpg|y685.jpg|y810.jpg
HE_000342,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1335.jpg|no1349.jpg|no651.jpg|y149.jpg|y154.jpg|y213.jpg|y291.jpg|y297.jpg|y349.jpg|y517.jpg|y564.jpg
HE_000343,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1029.jpg|no1346.jpg|no507.jpg|no758.jpg|no759.jpg|no948.jpg|no949.jpg|y1212.jpg|y214.jpg|y712.jpg|y76.jpg
HE_000344,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no1229.jpg|no544.jpg|y1069.jpg|y1203.jpg|y1279.jpg|y1435.jpg|y216.jpg|y298.jpg|y353.jpg|y541.jpg|y909.jpg
HE_000345,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no188.jpg|no779.jpg|y1078.jpg|y1178.jpg|y17.jpg|y218.jpg|y38.jpg|y426.jpg|y6.jpg|y607.jpg|y992.jpg
HE_000346,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no547.jpg|y117.jpg|y1172.jpg|y1303.jpg|y1386.jpg|y228.jpg|y301.jpg|y642.jpg|y819.jpg|y874.jpg|y892.jpg
HE_000347,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1161.jpg|no1429.jpg|no218.jpg|no910.jpg|y154.jpg|y230.jpg|y297.jpg|y403.jpg|y513.jpg|y524.jpg|y599.jpg
HE_000348,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1043.jpg|no1437.jpg|no329.jpg|no330.jpg|no494.jpg|no776.jpg|no920.jpg|y1016.jpg|y1109.jpg|y1153.jpg|y242.jpg
HE_000349,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no1384.jpg|no638.jpg|y1448.jpg|y181.jpg|y243.jpg|y391.jpg|y446.jpg|y524.jpg|y599.jpg|y686.jpg|y711.jpg
HE_000350,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1164.jpg|no638.jpg|no675.jpg|no925.jpg|y188.jpg|y252.jpg|y283.jpg|y302.jpg|y428.jpg|y452.jpg|y490.jpg
HE_000351,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no1147.jpg|no1164.jpg|no1178.jpg|no1372.jpg|no626.jpg|y1448.jpg|y255.jpg|y334.jpg|y527.jpg|y604.jpg|y711.jpg
HE_000352,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1178.jpg|no473.jpg|no626.jpg|y188.jpg|y252.jpg|y255.jpg|y283.jpg|y386.jpg|y452.jpg|y582.jpg|y617.jpg
HE_000353,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1335.jpg|no1349.jpg|no218.jpg|no651.jpg|y149.jpg|y154.jpg|y213.jpg|y291.jpg|y297.jpg|y349.jpg|y473.jpg
HE_000354,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1335.jpg|no1349.jpg|no218.jpg|no651.jpg|y149.jpg|y154.jpg|y213.jpg|y230.jpg|y291.jpg|y297.jpg|y349.jpg
HE_000355,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1229.jpg|no498.jpg|no544.jpg|y1069.jpg|y1203.jpg|y1435.jpg|y216.jpg|y298.jpg|y353.jpg|y541.jpg|y909.jpg
HE_000356,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no198.jpg|no637.jpg|no894.jpg|y299.jpg|y402.jpg|y468.jpg|y471.jpg|y473.jpg|y545.jpg|y556.jpg|y626.jpg
HE_000357,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no188.jpg|no195.jpg|no723.jpg|no779.jpg|y1271.jpg|y17.jpg|y218.jpg|y3.jpg|y380.jpg|y426.jpg|y607.jpg
HE_000358,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no547.jpg|y1155.jpg|y228.jpg|y301.jpg|y318.jpg|y54.jpg|y582.jpg|y642.jpg|y649.jpg|y819.jpg|y874.jpg
HE_000359,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no249.jpg|no675.jpg|no925.jpg|y188.jpg|y252.jpg|y302.jpg|y374.jpg|y428.jpg|y431.jpg|y452.jpg|y490.jpg
HE_000360,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1262.jpg|no1354.jpg|no587.jpg|no891.jpg|y1081.jpg|y1228.jpg|y1315.jpg|y1323.jpg|y210.jpg|y309.jpg|y59.jpg
HE_000361,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1025.jpg|no473.jpg|no713.jpg|y1155.jpg|y301.jpg|y318.jpg|y54.jpg|y582.jpg|y642.jpg|y649.jpg|y698.jpg
HE_000362,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no1147.jpg|y326.jpg|y377.jpg|y427.jpg|y449.jpg|y527.jpg|y590.jpg|y604.jpg|y686.jpg|y711.jpg|y874.jpg
